1, 1, 3, 3, 3, 3 
2, 2, 6, 7, 7, 7 
3, 6, 9, 14, 10, 10 
4, 13, 16, 19, 14, 14 
5, 20, 24, 25, 19, 19 
6, 29, 28, 33, 25, 25 
7, 28, 26, 45, 28, 28 
8, 45, 39, 53, 34, 34 
9, 44, 41, 58, 34, 34 
10, 57, 48, 67, 41, 41 
11, 69, 56, 75, 64, 49 
12, 75, 64, 81, 69, 49 
13, 83, 66, 89, 74, 53 
14, 89, 78, 101, 81, 61 
15, 111, 82, 106, 89, 69 
16, 122, 84, 114, 90, 71 
17, 128, 95, 123, 97, 75 
18, 145, 103, 150, 106, 86 
19, 161, 112, 160, 116, 87 
20, 177, 119, 148, 123, 99 
21, 176, 122, 179, 129, 130 
22, 189, 129, 186, 138, 138 
23, 207, 141, 200, 148, 146 
24, 217, 145, 211, 157, 151 
25, 228, 163, 220, 168, 160 
26, 235, 163, 231, 170, 162 
27, 250, 173, 241, 174, 173 
28, 275, 182, 256, 180, 180 
29, 286, 189, 263, 189, 186 
30, 296, 198, 278, 201, 194 
31, 300, 201, 284, 207, 200 
32, 318, 206, 288, 217, 206 
33, 347, 223, 307, 220, 211 
34, 334, 221, 311, 222, 215 
35, 366, 222, 320, 239, 233 
36, 373, 236, 333, 247, 240 
37, 384, 247, 339, 255, 241 
38, 415, 258, 352, 257, 262 
39, 429, 262, 365, 270, 264 
40, 437, 274, 380, 279, 274 
41, 456, 292, 397, 291, 285 
42, 457, 300, 403, 290, 290 
43, 488, 318, 411, 308, 299 
44, 509, 320, 430, 315, 300 
45, 516, 322, 469, 322, 313 
46, 534, 334, 443, 320, 316 
47, 554, 337, 455, 334, 328 
48, 556, 349, 506, 348, 338 
49, 582, 350, 521, 357, 340 
50, 597, 360, 532, 360, 347 
51, 608, 367, 550, 374, 364 
52, 621, 372, 565, 387, 370 
53, 648, 385, 569, 391, 380 
54, 647, 394, 586, 393, 386 
55, 674, 405, 590, 404, 404 
56, 685, 419, 611, 413, 397 
57, 711, 427, 618, 420, 406 
58, 715, 425, 634, 436, 411 
59, 725, 451, 643, 448, 428 
60, 750, 451, 655, 455, 431 
61, 782, 458, 662, 462, 438 
62, 783, 463, 673, 465, 451 
63, 804, 478, 691, 490, 472 
64, 839, 496, 705, 475, 464 
65, 843, 498, 711, 488, 483 
66, 840, 499, 731, 508, 480 
67, 882, 513, 741, 501, 494 
68, 888, 535, 755, 520, 511 
69, 911, 526, 764, 530, 523 
70, 940, 544, 774, 535, 527 
71, 923, 551, 789, 538, 529 
72, 966, 570, 804, 555, 545 
73, 968, 555, 838, 565, 540 
74, 998, 574, 833, 575, 573 
75, 1011, 581, 844, 579, 587 
76, 1021, 584, 854, 584, 587 
77, 1034, 577, 867, 612, 602 
78, 1068, 625, 883, 631, 604 
79, 1087, 633, 894, 639, 620 
80, 1085, 631, 916, 640, 614 
81, 1119, 636, 920, 638, 620 
82, 1142, 659, 926, 644, 651 
83, 1155, 658, 943, 661, 643 
84, 1185, 663, 953, 671, 674 
85, 1201, 700, 984, 680, 678 
86, 1205, 687, 990, 693, 682 
87, 1243, 700, 1023, 789, 690 
88, 1252, 719, 1031, 801, 704 
89, 1274, 716, 1040, 722, 704 
90, 1279, 707, 1060, 814, 736 
91, 1282, 729, 1065, 814, 719 
92, 1322, 747, 1072, 829, 744 
93, 1329, 756, 1165, 837, 745 
94, 1362, 760, 1099, 860, 738 
95, 1355, 772, 1093, 876, 757 
96, 1394, 778, 1185, 879, 754 
97, 1415, 795, 1146, 892, 769 
98, 1447, 808, 1125, 902, 794 
99, 1469, 817, 1245, 896, 792 
100, 1463, 828, 1175, 917, 797 
101, 1501, 837, 1287, 928, 820 
102, 1492, 837, 1286, 928, 828 
103, 1524, 856, 1303, 942, 830 
104, 1556, 859, 1315, 960, 836 
105, 1577, 876, 1330, 965, 828 
106, 1557, 879, 1342, 987, 852 
107, 1613, 889, 1359, 990, 863 
108, 1626, 905, 1364, 988, 867 
109, 1625, 910, 1379, 1016, 876 
110, 1668, 930, 1401, 1024, 906 
111, 1674, 932, 1398, 1019, 902 
112, 1663, 920, 1408, 1061, 900 
113, 1721, 952, 1442, 1057, 920 
114, 1746, 969, 1467, 1065, 933 
115, 1756, 970, 1469, 1067, 932 
116, 1785, 989, 1503, 1085, 945 
117, 1804, 983, 1489, 1096, 963 
118, 1803, 1003, 1522, 1099, 971 
119, 1834, 1009, 1536, 1105, 960 
120, 1854, 1022, 1554, 1124, 981 
121, 1848, 1028, 1559, 1138, 1001 
122, 1904, 1041, 1574, 1155, 1020 
123, 1950, 1069, 1574, 1153, 1013 
124, 1923, 1049, 1597, 1183, 1048 
125, 1953, 1064, 1633, 1191, 1041 
126, 1973, 1058, 1633, 1195, 1043 
127, 1998, 1073, 1667, 1206, 1030 
128, 2021, 1097, 1670, 1209, 1077 
129, 2046, 1112, 1679, 1238, 1046 
130, 2047, 1118, 1683, 1248, 1094 
131, 2081, 1132, 1720, 1259, 1103 
132, 2097, 1145, 1618, 1250, 1114 
133, 2124, 1164, 1727, 1267, 1123 
134, 2162, 1174, 1739, 1285, 1142 
135, 2186, 1172, 1763, 1289, 1151 
136, 2190, 1187, 1770, 1309, 1158 
137, 2167, 1198, 1807, 1308, 1150 
138, 2208, 1200, 1827, 1284, 1173 
139, 2234, 1207, 1822, 1320, 1202 
140, 2252, 1214, 1828, 1342, 1198 
141, 2266, 1238, 1840, 1354, 1203 
142, 2301, 1245, 1858, 1370, 1202 
143, 2319, 1247, 1876, 1388, 1213 
144, 2328, 1270, 1897, 1364, 1234 
145, 2338, 1271, 1916, 1391, 1254 
146, 2371, 1274, 1926, 1419, 1266 
147, 2430, 1294, 1961, 1424, 1265 
148, 2416, 1289, 1943, 1442, 1282 
149, 2437, 1320, 1977, 1454, 1286 
150, 2451, 1314, 1985, 1458, 1289 
151, 2458, 1349, 2002, 1482, 1291 
152, 2525, 1334, 2014, 1473, 1285 
153, 2512, 1376, 2021, 1492, 1305 
154, 2562, 1366, 2049, 1521, 1322 
155, 2581, 1408, 2052, 1525, 1327 
156, 2586, 1380, 2095, 1516, 1351 
157, 2563, 1404, 2068, 1554, 1359 
158, 2622, 1402, 2105, 1539, 1343 
159, 2683, 1441, 2116, 1561, 1391 
160, 2658, 1441, 2134, 1570, 1391 
161, 2684, 1466, 2149, 1581, 1404 
